temperature_C,substrate,boron_species_BOH2,boron_species_BPin,ligand,case,dG_TM_react_8_kcal_mol,dG_TM_react_9_kcal_mol,dG_TM_reactant_10_kcal_mol,dG_TM_reactant_kcal_mol,dG_TM_TS_kcal_mol,dG_TM_product_kcal_mol,total_barrier_kcal_mol,standard_state
70,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PPh3,case4,-16.09110204130411,-34.20194651465863,-14.14162079244852,-10.637680940330029,-5.529393443372101,-27.248491670936346,28.67255307128653,1bar
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,AmPhos,case2,-16.53590660635382,-13.058347959071398,-6.556169477291405,-5.250540599226952,2.657286091707647,-16.914121156558394,19.193192698061466,1bar
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,AmPhos,case3,-16.53590660681948,-17.37482775002718,-9.998162528965622,-5.821923749987036,2.7576082050800323,-16.769743379205465,20.132435955107212,1bar
70,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,AmPhos,case4,-18.332082930020988,-16.01763185625896,-11.289964536670595,-10.894729415420443,-5.4124871655367315,-33.484306923579425,12.919595764484257,1bar
70,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case1,-13.682022830471396,-13.825326164253056,-7.498670626431704,-6.861542102880776,0.7764695696532726,-15.45574554335326,14.601795733906329,1bar
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case2,-15.364463126286864,-8.488026859238744,-7.771178372204304,-4.132004278246313,0.49494665395468473,-16.801059591118246,15.859409780241549,1bar
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,Catacxium_A,case3,-15.364463126286864,-11.005712752230465,-11.915131969377398,-9.183973962441087,0.7523923804983497,-18.13726766826585,16.116855506785214,1bar
70,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,Catacxium_A,case4,-10.157837752252817,-21.40359450969845,-11.224429529160261,-7.5995804611593485,-0.5362147279083729,-33.17613044846803,20.867379781790078,1bar
70,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,RuPhos,case2,-9.186616217717528,-13.930984646081924,-9.408050086349249,-11.381278272718191,2.9779461985453963,-21.375500692985952,16.90893084462732,1bar
70,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,RuPhos,case3,-9.186616217717528,-14.929244133178145,-12.877649405505508,-10.126861585769802,2.6392599530518055,-29.77683641249314,17.56850408622995,1bar
